Deutsch;Russisch;Genus;Belebt
Theater;театр;m;u
Museum;музей;m;u
Mama;мама;w;b
Tante;тётя;w;b
Fenster;окно;s;u
Meer;море;s;u
Vase;ваза;w;u
Zeitung;газета;w;u
Geologe;геолог;m;b
Herr (Anrede);господни;m;b
Frau (Anrede);госпожа;w;b
Tafel;доска;w;u
Zeitschrift;журнал;m;u
Journalist;журналист;m;b
Ingenieur;инженер;m;b
Kapitän;капитан;m;b
Bleistift;карандаш;m;u
Karte, Landkarte;карта;w;u
Buch;книга;w;u
Lampe;лампа;w;u
Musiker;музыкант;m;b
Deutscher;немец;m;b
Deutsche;немка;w;b
Brief;письмо;s;u
Lehrer (für Erwachsene);преподаватель;m;b
Rose;роза;w;u
Russe;русский;m;b
Russin;русская;w;b
Kugelschreiber;ручка;w;u
Land;страна;w;u
Sekretär;секретар;m;b
Tisch;стол;m;u
Stuhl;стул;m;u;стулья
Student;студент;m;b
Studentin;студентка;w;b
Stewardess;стюардесса;w;b
Unterrichtsstunde;урок;m;a
Chauffeur;шофёр;m;b
Großmutter;бабушка;w;b
Bruder;брат;m;b;братья
Enkel;внук;m;b
Enkelin;внучка;w;b
Großvater;дедушка;w;b
Tochter;дочь;w;b;дочери
Sohn;сын;m;b;сыновья
Onkel;дядя;m;b
Frau, Ehefrau;жена;w;b
Huhn;курица;w;b
Mutter;мать;w;b;матери
Meer;море;s;u
Mann, Ehemann;муж;m;b;мужья
Himmel;небо;s;u
Vater;отец;m;b
Papa;папа;w;b
Familie;семья;w;a
Schwester;сестра;w;b
Fernseher;телевизор;m;u
Universität;унивеситет;m;u
Album;адьбом;m;u
Balkon;балкон;m;u
Badezimmer;ванная;w;u
Wohnzimmer;гостиная;w;u
Tag;день;m;a
Sofa;диван;m;u
Haus;дом;m;u
Wohnung;квартира;w;u
Zimmer;комната;w;u
Korridor;коридор;m;u
Sessel;кресло;s;u
Küche;кухня;w;u
Nummer;номер;m;a;s
Park;парк;m;u
Regal;полка;w;u
Arbeit;работа;w;u
Hund;сабака;w;b
Nachbar;сосед;m;b;соседи
Schlafzimmer;спальня;w;u
Toilette;туалет;m;u
Bibliothek;библиотека;w;u
Pfannkuchen;блин;m;u
Weinglas;бокал;m;u
Borschtsch;борщ;m;u
Imbissbude;буфет;m;u
Abend;вечер;m;a;s
Gabel;вилка;w;u
Wein;вино;s;u
Deutschland;германия;w;u
Gast;гость;m;b
Essen;еда;w;u
Frühstück;завтрак;m;u
Limonade;лимонад;m;u
Löffel;ложка;w;u
Milch;молоко;s;u
Mehl;мука;w;u
Getränk;напиток;m;u
Messer;нож;m;u
Mittagessen;обед;m;u
Bier;пиво;s;u
Gedeck;прибор;m;u
Serviette;салфетка;w;u
Samowar;самовар;m;u
Zucker;сахар;m;u
Salz;соль;m;u
Überraschung;сюрприз;m;a
Teller;тарелка;w;u
Teig;тесто;s;u
Abendessen;ужин;m;u
Morgen;утро;s;a
Brot;хлеб;m;u
Kühlschrank;холодильник;m;u
Tee;чай;m;u
Ei;яйцо;s;u
Sanatorium;санаторий;m;u
Vorlesung;лекция;w;a
Platz, Fläche;площадь;w;u
Gebäude;здание;s;u
Kino;кино;s;ui
Kaffee;кафе;s;ui
Büro;бюро;s;ui
Brücke;мост;m;u
Wald;лес;m;u
Fußboden;пол;s;u
Stadt;город;m;u;s
Gastfreundschaft;гостеприимство;s;a
Vorspeise;закуска;w;u
Wurst;колбаса;w;u
Butter;масло;s;u
Anfang;начало;s;a
Geschenk;подарок;m;u
Roman;роман;m;u
Salat;салат;m;u
Wort;слово;s;a
Käse;сыр;m;u
Straße;улица;w;u
Gastgeber;хозяин;m;b
Gastgeberin;хозяйка;w;b
Zentrum;центр;m;u
Tasse;чашка;w;u
Paß;паспорт;m;u;s
Zug;поезд;m;u;s
Apfel;яблоко;s;u;w
Freund;друг;m;b;друзья
Kind;ребёнок;m;b;дети
Mensch;человек;m;b;люди
Baum;лерево;s;u;леревья