Verb Deutsch;Verb Russisch;Person;Konjugation;Aussprache;";"
sprechen;говорить;infinitiv;i;[gawarít'];";"
ich spreche;говорю;я;i;gawarjú;";"
du sprichst;говоришь;ты;i;gawarísch;";"
er spricht;говорит;он / она;i;gawarít;";"
wir sprechen;говорим;мы ;i;gawarím;";"
ihr sprecht;говорите;вы / Вы;i;gawarítje;";"
sie sprechen;говорят;они;i;gawarját;";"
wissen;знaть;infinitiv;e;znat';";"
ich weiß;знаю;я;e;znáju;";"
du weißt;знаешь;ты;e;znájesch;";"
er weiß;знает;он / она;e;znájet;";"
wir wissen;знаем;мы ;e;znájem;";"
ihr wisst;знаете;вы / Вы;e;znájetje;";"
sie wissen;знают;они;e;znájut;";"
schauen;смотреть;infinitiv;i;[ßmatrjét'];";"
ich schaue;смотрю;я;i;[ßmatrjú];";"
du schaust;смотришь;ты;i;[ßmótrisch];";"
er schaut;смотрит;он / она;i;[ßmótrit];";"
wir schauen;смотрим;мы ;i;[ßmótrim];";"
ihr schaut;смотрите;вы / Вы;i;[ßmótritje];";"
sie schauen;смотрят;они;i;[ßmótrjat];";"